a0ti1,b1to2,c2to5,d5to15,e15to100
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
222.830941,445.9342069,1293.185405,625.1925648,212.3565891
293.1374978,586.633871,1701.203979,822.4489547,279.3557771
141.1635549,282.4988986,819.2351515,396.0615354,134.5310093
186.9514457,374.131047,1084.961575,524.5268512,178.164941
247.3891362,495.0808296,1435.70696,694.0945443,235.759515
208.3204198,416.8953015,1208.974736,584.4809563,198.5286735
153.7343065,307.655877,892.1885199,431.3308075,146.5104062
97.72138004,195.5610696,567.1219055,274.1775039,93.13244597
397.5157885,795.5189466,2306.955181,1115.299092,378.8238927
118.377475,236.898688,686.9979282,332.1315113,112.8168346
408.7335406,817.9682604,2372.056523,1146.772305,389.513938
164.1002767,328.4005782,952.3466126,460.4142094,156.3887392
399.9633378,800.4170582,2321.159341,1122.166086,381.1563041
868.634082,1738.335501,5041.053151,2437.097483,827.7797872
547.3047708,1095.281308,3176.243761,1535.556251,521.5664851
1862.713279,3727.71765,10810.1136,5226.147075,1775.0954
1660.4399,3322.921885,9636.235952,4658.636471,1582.337388
1899.467406,3801.271151,11023.41329,5329.26671,1810.120536
3255.767744,6515.541493,18894.59565,9134.586161,3102.617644
3463.189687,6930.640724,20098.35258,9716.541891,3300.28202
5191.41659,10389.22205,30127.98151,14565.36133,4947.209481
4386.134365,8777.666265,25454.58945,12306.01211,4179.809433
7578.494193,15166.31586,43981.19868,21262.69273,7221.993916
8907.70325,17826.37029,51695.15892,24992.00322,8488.674173
8214.361545,16438.83334,47671.40486,23046.72119,7827.948725
10890.72279,21794.85054,63203.45687,30555.68451,10378.40829
11813.29441,23641.12952,68557.52876,33144.10807,11257.5802
5125.956611,10258.22151,29748.08967,14381.7028,4884.828878
8137.337261,16284.68995,47224.40048,22830.61713,7754.547826
8660.102654,17330.86429,50258.22833,24297.31979,8252.721232
6753.708466,13515.72905,39194.61957,18948.62328,6436.00785
4909.958559,9825.959504,28494.56197,13775.68541,4678.991831
3078.078215,6159.94369,17863.38844,8636.049515,2933.287005
1613.704701,3229.393954,9365.011902,4527.51333,1537.800712
1789.768125,3581.737544,10386.78214,5021.487676,1705.581741
598.2867586,1197.308045,3472.113719,1678.594445,570.1501726
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
1275.862281,2553.293216,7404.369985,3579.641907,1215.851113
540.6207565,1081.905051,3137.453609,1516.803171,515.1969009
402.7629705,806.01977,2337.406789,1130.020907,383.8242361
568.1431665,1136.983752,3297.177752,1594.021733,541.4245987
1037.990023,2077.255867,6023.897037,2912.252903,989.1688672
348.542088,697.5112569,2022.740161,977.8954725,332.1540184
1084.84365,2171.0208,6295.808377,3043.708314,1033.818401
1388.310985,2778.329052,8056.957193,3895.13489,1323.009992
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
366.4213754,733.2918419,2126.5012,1028.058698,349.1922264
400.0598767,800.6102548,2321.719596,1122.436941,381.2483015
263.5901658,527.5028328,1529.72836,739.5491468,251.1984139
164.0411683,328.2822887,952.0035816,460.2483712,156.3324114
150.0115198,300.2057206,870.5836199,420.8859286,142.9627472
115.6237704,231.387889,671.0170205,324.4055489,110.1926701
555.6925529,1112.067198,3224.921595,1559.089528,529.5596882
291.522032,583.4009506,1691.82875,817.9165045,277.8163062
846.8075691,1694.655606,4914.3847,2375.85968,806.9800396
491.3163251,983.2354925,2851.319219,1378.471633,468.2118541
338.0584779,676.5311308,1961.899354,948.4820126,322.1635794
1401.938661,2805.601179,8136.044337,3933.369533,1335.996593
871.5449734,1744.160867,5057.94628,2445.264459,830.5537441
1396.913877,2795.545428,8106.883403,3919.271693,1331.208186
1852.574162,3707.426935,10751.27204,5197.700147,1765.433249
2502.892497,5008.864175,14525.34335,7022.273171,2385.159237
4196.878796,8398.922144,24356.25963,11775.02507,3999.456845
4746.838791,9499.51916,27547.90922,13318.02658,4523.545561
5876.353619,11759.9393,34102.95971,16487.06269,5599.925627
6203.4601,12414.55494,36001.29645,17404.8127,5911.644329
5450.776798,10908.26175,31633.15809,15293.03825,5194.368838
7147.571887,14303.94076,41480.37496,20053.67066,6811.343104
9708.590954,19429.13162,56343.04773,27239.0229,9251.886429
5146.692673,10299.71916,29868.42978,14439.88117,4904.589472
11147.6825,22309.0863,64694.70237,31276.62645,10623.28007
12508.13122,25031.6585,72589.95951,35093.58484,11919.73041
12037.93662,24090.69049,69861.22216,33774.37804,11471.65476
12215.58343,24446.20279,70892.18143,34272.79482,11640.94469
9367.049647,18745.62856,54360.93962,26280.77365,8926.411946
7758.522742,15526.59458,45025.98021,21767.79187,7393.553541
5555.670772,11118.17883,32241.90202,15587.33522,5294.328378
2894.43382,5792.428825,16797.62263,8120.80553,2758.281629
2761.355458,5526.108276,16025.31282,7747.432712,2631.463554
2883.302091,5770.151664,16733.02052,8089.57367,2747.673561
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
1532.656199,3067.197175,8894.653291,4300.118679,1460.564902
368.4544717,737.3605373,2138.300114,1033.762878,351.1296816
431.358858,863.246748,2503.360774,1210.251284,411.0749128
1348.600081,2698.858358,7826.498085,3783.719541,1285.167173
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
